States,Region,CaseLabel,Cases
Alabama,South,22,22
Alaska,West,1 to 5,1
Arizona,West,13,13
Arkansas,South,16,16
California,West,369,369
Colorado,West,144,144
Connecticut,Northeast,26,26
Delaware,South,8,8
Florida,South,136,136
Georgia,South,119,119
Hawaii,West,7,7
Idaho,West,1 to 5,1
Illinois,Midwest,93,93
Indiana,Midwest,19,19
Iowa,Midwest,22,22
Kansas,Midwest,8,8
Kentucky,South,20,20
Louisiana,South,101,101
Maine,Northeast,14,14
Maryland,South,37,37
Massachusetts,Northeast,164,164
Michigan,Midwest,53,53
Minnesota,Midwest,54,54
Mississippi,South,10,10
Missouri,Midwest,1 to 5,1
Montana,West,7,7
Nebraska,Midwest,18,18
Nevada,West,16,16
New Hampshire,Northeast,13,13
New Jersey,Northeast,98,98
New Mexico,West,17,17
New York,Northeast,669,669
North Carolina,South,33,33
North Dakota,Midwest,1 to 5,1
Ohio,Midwest,37,37
Oklahoma,South,9,9
Oregon,West,39,39
Pennsylvania,Northeast,63,63
Rhode Island,Northeast,21,21
South Carolina,South,28,28
South Dakota,Midwest,9,9
Tennessee,South,39,39
Texas,South,67,67
Utah,West,21,21
Vermont,Northeast,1 to 5,1
Virginia,South,51,51
Washington,West,708,708
West Virginia,South,None,0
Wisconsin,Midwest,27,27
Wyoming,West,1 to 5,1
